band,time_s,avg_density,avg_blp,avg_corr,smoothing_sec,corr_window_sec,window_length_sec,sampling_rate,corr_threshold
alpha,0.0,0.4289669230315917,8.808822713035624e-06,0.1205750645769921,1,5,0.25,1024,0.82
alpha,1.0,0.7427336115129702,8.727873137104325e-06,0.2500843714528836,1,5,0.25,1024,0.82
alpha,2.0,0.9826494735989441,8.919519132177811e-06,0.3462816384134111,1,5,0.25,1024,0.82
alpha,3.0,0.5905182328142072,9.215706086251885e-06,0.2625305231324097,1,5,0.25,1024,0.82
alpha,4.0,0.5490368481804604,9.363606295664796e-06,0.1868348598394099,1,5,0.25,1024,0.82
alpha,5.0,0.7934387414306339,9.13099938770756e-06,0.3056832867252558,1,5,0.25,1024,0.82
alpha,6.0,0.4774117938620259,8.723118298803456e-06,0.2467501971232357,1,5,0.25,1024,0.82
alpha,7.0,0.3156867243488042,8.723231985641178e-06,0.4088842484255024,1,5,0.25,1024,0.82
alpha,8.0,0.3106939545199743,9.21353330340935e-06,0.6290961004485446,1,5,0.25,1024,0.82
alpha,9.0,0.3627726453404786,9.654698260419536e-06,0.656910149368835,1,5,0.25,1024,0.82
alpha,10.0,0.30120187679453425,9.783751920622308e-06,0.5707934257544903,1,5,0.25,1024,0.82
alpha,11.0,0.5258705688377807,9.641999895393384e-06,0.5491949315315231,1,5,0.25,1024,0.82
alpha,12.0,0.8066285822651306,9.159519322565757e-06,0.6272109745669251,1,5,0.25,1024,0.82
alpha,13.0,0.874950031804286,8.352331860805862e-06,0.5947616588261513,1,5,0.25,1024,0.82
alpha,14.0,0.6571832222586776,7.71959912526654e-06,0.252909237504134,1,5,0.25,1024,0.82
alpha,15.0,0.16847743584759817,7.574618393846322e-06,0.0402363850526685,1,5,0.25,1024,0.82
alpha,16.0,0.25053782098027927,7.647753591299988e-06,0.0771395412836997,1,5,0.25,1024,0.82
alpha,17.0,0.6039580131126542,8.098208127194084e-06,0.5767539898551077,1,5,0.25,1024,0.82
alpha,18.0,0.9320307485476894,9.18227760848822e-06,0.8667781824480713,1,5,0.25,1024,0.82
alpha,19.0,0.8704195114204648,1.0320118235540576e-05,0.8713567057389272,1,5,0.25,1024,0.82
alpha,20.0,0.660911581455596,1.109308868763037e-05,0.7393295692312193,1,5,0.25,1024,0.82
alpha,21.0,0.11133035014952097,1.151070864580106e-05,0.5273164495933383,1,5,0.25,1024,0.82
alpha,22.0,0.7768114966909212,1.1256992365815677e-05,0.4947978869525251,1,5,0.25,1024,0.82
alpha,23.0,0.5842135893785884,1.026748668664368e-05,0.656841141641723,1,5,0.25,1024,0.82
alpha,24.0,0.3650438223309872,9.13298390514683e-06,0.708375405931234,1,5,0.25,1024,0.82
alpha,25.0,0.7417443457391949,8.254841304733418e-06,0.5651728477085114,1,5,0.25,1024,0.82
alpha,26.0,0.45409482924729916,7.82813185651321e-06,0.2596611125288061,1,5,0.25,1024,0.82
alpha,27.0,0.8942217112842981,7.798734259267803e-06,0.2645737070858928,1,5,0.25,1024,0.82
alpha,28.0,0.8897041216878104,7.860702680773102e-06,0.2977308228275039,1,5,0.25,1024,0.82
alpha,29.0,0.4959830399929972,8.017019354156218e-06,0.2145008981283064,1,5,0.25,1024,0.82
alpha,30.0,0.7281522821700189,8.42357530927984e-06,0.0743554506622684,1,5,0.25,1024,0.82
alpha,31.0,0.4479615085324328,9.036850315169431e-06,-0.0145480518291941,1,5,0.25,1024,0.82
alpha,32.0,0.1028545533147931,9.575958756613543e-06,-0.0150180191611203,1,5,0.25,1024,0.82
alpha,33.0,0.2605153277914582,9.77213312580716e-06,0.0473705970747091,1,5,0.25,1024,0.82
alpha,34.0,0.436867736239566,9.78642037807731e-06,0.1496547309155929,1,5,0.25,1024,0.82
alpha,35.0,0.23808167791744161,9.643621524446644e-06,0.1961210242190497,1,5,0.25,1024,0.82
alpha,36.0,0.9508892739445857,9.0410412667552e-06,0.1517396300647941,1,5,0.25,1024,0.82
alpha,37.0,0.8211419959516425,8.30714725452708e-06,0.1441447144854617,1,5,0.25,1024,0.82
