Time Window,Focus (Temporal),Focus (Spatial),LA1,LA2,LA3,LMH1,LMH2,LMH3,RA1,RA3,RMH1,RMH2,RMH3,LA1-LA2,LA2-LA3,LA3-LA4,LMH1-LMH2,LMH2-LMH3,LMH3-LMH4,RA1-RA3,RA3-RA4,RMH1-RMH2,RMH2-RMH3,RMH3-RMH4
0.0 - 0.25,0.12,RA1-RA3,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,,,,
0.75 - 1.0,0.88,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
1.0 - 1.25,1.12,RMH1,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,
1.25 - 1.5,1.38,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
2.75 - 3.0,2.88,RA3,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI
4.25 - 4.5,4.38,LMH1,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,,,
4.5 - 4.75,4.62,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,
4.75 - 5.0,4.88,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,
5.5 - 5.75,5.62,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,
5.75 - 6.0,5.88,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,
8.0 - 8.25,8.12,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,AUTO_DETECT_MULTI,,,
11.0 - 11.25,11.12,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,,
12.5 - 12.75,12.62,RA1,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,,,
12.75 - 13.0,12.88,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
13.5 - 13.75,13.62,RA3,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,
13.75 - 14.0,13.88,LA2,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,,,,,
14.5 - 14.75,14.62,LMH2,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,,
17.5 - 17.75,17.62,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,
17.75 - 18.0,17.88,RA3-RA4,,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,,,
19.5 - 19.75,19.62,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,
20.0 - 20.25,20.12,RMH2,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,
21.5 - 21.75,21.62,RMH1-RMH2,,,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,,
