band,time_s,avg_density,avg_blp,avg_corr,smoothing_sec,corr_window_sec,window_length_sec,sampling_rate,corr_threshold
alpha,0.0,0.0,8.808822713035624e-06,0.12057506457699213,1,5,0.25,1024,0.82
alpha,1.0,0.0,8.727873137104325e-06,0.25008437145288365,1,5,0.25,1024,0.82
alpha,2.0,0.0,8.919519132177811e-06,0.3462816384134111,1,5,0.25,1024,0.82
alpha,3.0,0.0,9.215706086251885e-06,0.26253052313240977,1,5,0.25,1024,0.82
alpha,4.0,0.0,9.363606295664795e-06,0.18683485983940995,1,5,0.25,1024,0.82
alpha,5.0,0.0,9.130999387707561e-06,0.3056832867252558,1,5,0.25,1024,0.82
alpha,6.0,0.0,8.723118298803456e-06,0.24675019712323576,1,5,0.25,1024,0.82
alpha,7.0,0.0,8.723231985641178e-06,0.4088842484255024,1,5,0.25,1024,0.82
alpha,8.0,0.0,9.21353330340935e-06,0.6290961004485446,1,5,0.25,1024,0.82
alpha,9.0,0.0,9.654698260419536e-06,0.656910149368835,1,5,0.25,1024,0.82
alpha,10.0,0.0,9.783751920622308e-06,0.5707934257544903,1,5,0.25,1024,0.82
alpha,11.0,0.0,9.641999895393383e-06,0.5491949315315231,1,5,0.25,1024,0.82
alpha,12.0,0.0,9.159519322565757e-06,0.6272109745669251,1,5,0.25,1024,0.82
alpha,13.0,0.0,8.352331860805862e-06,0.5947616588261513,1,5,0.25,1024,0.82
alpha,14.0,0.0,7.71959912526654e-06,0.252909237504134,1,5,0.25,1024,0.82
alpha,15.0,0.0,7.574618393846322e-06,0.04023638505266854,1,5,0.25,1024,0.82
alpha,16.0,0.0,7.647753591299988e-06,0.07713954128369974,1,5,0.25,1024,0.82
alpha,17.0,0.0,8.098208127194084e-06,0.5767539898551077,1,5,0.25,1024,0.82
alpha,18.0,0.0,9.18227760848822e-06,0.8667781824480713,1,5,0.25,1024,0.82
alpha,19.0,0.0,1.0320118235540576e-05,0.8713567057389272,1,5,0.25,1024,0.82
alpha,20.0,0.0,1.109308868763037e-05,0.7393295692312193,1,5,0.25,1024,0.82
alpha,21.0,0.0,1.151070864580106e-05,0.5273164495933383,1,5,0.25,1024,0.82
alpha,22.0,0.0,1.1256992365815677e-05,0.4947978869525251,1,5,0.25,1024,0.82
alpha,23.0,0.0,1.0267486686643679e-05,0.656841141641723,1,5,0.25,1024,0.82
alpha,24.0,0.0,9.13298390514683e-06,0.708375405931234,1,5,0.25,1024,0.82
alpha,25.0,0.0,8.254841304733418e-06,0.5651728477085114,1,5,0.25,1024,0.82
alpha,26.0,0.0,7.82813185651321e-06,0.25966111252880614,1,5,0.25,1024,0.82
alpha,27.0,0.0,7.798734259267803e-06,0.2645737070858928,1,5,0.25,1024,0.82
alpha,28.0,0.0,7.860702680773102e-06,0.2977308228275039,1,5,0.25,1024,0.82
alpha,29.0,0.0,8.017019354156218e-06,0.21450089812830647,1,5,0.25,1024,0.82
alpha,30.0,0.0,8.42357530927984e-06,0.07435545066226847,1,5,0.25,1024,0.82
alpha,31.0,0.0,9.036850315169431e-06,-0.014548051829194135,1,5,0.25,1024,0.82
alpha,32.0,0.0,9.575958756613545e-06,-0.015018019161120336,1,5,0.25,1024,0.82
alpha,33.0,0.0,9.772133125807159e-06,0.04737059707470917,1,5,0.25,1024,0.82
alpha,34.0,0.0,9.78642037807731e-06,0.14965473091559298,1,5,0.25,1024,0.82
alpha,35.0,0.0,9.643621524446644e-06,0.19612102421904973,1,5,0.25,1024,0.82
alpha,36.0,0.0,9.041041266755201e-06,0.15173963006479418,1,5,0.25,1024,0.82
alpha,37.0,0.0,8.30714725452708e-06,0.1441447144854617,1,5,0.25,1024,0.82
alpha,38.0,0.0,7.998698492883705e-06,0.16238736945450166,1,5,0.25,1024,0.82
alpha,39.0,0.0,7.81646122050006e-06,0.1900187269347016,1,5,0.25,1024,0.82
alpha,40.0,0.0,7.567122338514309e-06,0.06781066924758633,1,5,0.25,1024,0.82
alpha,41.0,0.0,7.5661764640244655e-06,0.10317701445409587,1,5,0.25,1024,0.82
alpha,42.0,0.0,7.818073754606303e-06,0.21666872945038645,1,5,0.25,1024,0.82
alpha,43.0,0.0,7.971517334226519e-06,0.22326574763035384,1,5,0.25,1024,0.82
alpha,44.0,0.0,7.934456334623974e-06,0.33826603559781754,1,5,0.25,1024,0.82
alpha,45.0,0.0,7.69778671383392e-06,0.5418816716999024,1,5,0.25,1024,0.82
alpha,46.0,0.0,7.323741101572523e-06,0.6200438964480828,1,5,0.25,1024,0.82
alpha,47.0,0.0,6.908582236064831e-06,0.4888196794372003,1,5,0.25,1024,0.82
alpha,48.0,0.0,6.64402250549756e-06,0.2535886707308635,1,5,0.25,1024,0.82
alpha,49.0,0.0,6.730618679284817e-06,0.35400056158554905,1,5,0.25,1024,0.82
alpha,50.0,0.0,7.0202318056544755e-06,0.40845064989253144,1,5,0.25,1024,0.82
alpha,51.0,0.0,7.241674666147446e-06,0.21561533465144234,1,5,0.25,1024,0.82
alpha,52.0,0.0,7.594265298394021e-06,0.22510843289360682,1,5,0.25,1024,0.82
alpha,53.0,0.0,8.32872865430545e-06,0.5575475144426034,1,5,0.25,1024,0.82
alpha,54.0,0.0,9.248834430763964e-06,0.8201674554103411,1,5,0.25,1024,0.82
alpha,55.0,0.0,1.0313366146874614e-05,0.9148123731023086,1,5,0.25,1024,0.82
alpha,56.0,0.0,1.1368771993147675e-05,0.8532494476557384,1,5,0.25,1024,0.82
alpha,57.0,0.0,1.1762454960262403e-05,0.563944522087503,1,5,0.25,1024,0.82
alpha,58.0,0.0,1.1174673090863507e-05,0.7285685786211086,1,5,0.25,1024,0.82
alpha,59.0,0.0,1.0013520295615308e-05,0.9067005866514406,1,5,0.25,1024,0.82
alpha,60.0,0.0,8.651346433907747e-06,0.9301063760312851,1,5,0.25,1024,0.82
alpha,61.0,0.0,7.37453592591919e-06,0.8385238033217569,1,5,0.25,1024,0.82
alpha,62.0,0.0,6.6096145019400865e-06,0.44922030893651843,1,5,0.25,1024,0.82
alpha,63.0,0.0,6.559278517670464e-06,0.16934121461272408,1,5,0.25,1024,0.82
alpha,64.0,0.0,7.031215318420436e-06,0.3775002345235314,1,5,0.25,1024,0.82
