band,time_s,avg_density,avg_blp,avg_corr,smoothing_sec,corr_window_sec,window_length_sec,sampling_rate,corr_threshold
beta,0.0,0.0,1.141799111792352e-05,0.4513146012037087,3,5,0.25,1024,0.82
beta,1.0,0.0,1.1178779459442012e-05,0.607569701672285,3,5,0.25,1024,0.82
beta,2.0,0.0,1.0905894669122063e-05,0.7577220807208861,3,5,0.25,1024,0.82
beta,3.0,0.0,1.0619192835292779e-05,0.7874479604257343,3,5,0.25,1024,0.82
beta,4.0,0.0,1.0333384125260636e-05,0.7993810520726858,3,5,0.25,1024,0.82
beta,5.0,0.0,1.0060733984573744e-05,0.8091068541339645,3,5,0.25,1024,0.82
beta,6.0,0.0,9.812667485675775e-06,0.5777461953597265,3,5,0.25,1024,0.82
beta,7.0,0.0,9.598261385690421e-06,0.441071564661466,3,5,0.25,1024,0.82
beta,8.0,0.0,9.421009963261895e-06,0.38484986818628275,3,5,0.25,1024,0.82
beta,9.0,0.0,9.27810924622463e-06,0.36226756083762035,3,5,0.25,1024,0.82
beta,10.0,0.0,9.163985851046164e-06,0.37546491612654304,3,5,0.25,1024,0.82
beta,11.0,0.0,9.076722562895156e-06,0.34496534306786464,3,5,0.25,1024,0.82
beta,12.0,0.0,9.023815437103622e-06,0.2969137245948317,3,5,0.25,1024,0.82
beta,13.0,0.0,9.02331703400705e-06,0.3465242163729146,3,5,0.25,1024,0.82
beta,14.0,0.0,9.098703230847605e-06,0.6135691181778024,3,5,0.25,1024,0.82
beta,15.0,0.0,9.26887514651753e-06,0.8842358136862196,3,5,0.25,1024,0.82
beta,16.0,0.0,9.53671224124264e-06,0.9764139275903344,3,5,0.25,1024,0.82
beta,17.0,0.0,9.88047213468235e-06,0.983604269965642,3,5,0.25,1024,0.82
beta,18.0,0.0,1.0252181709802244e-05,0.9724210049358002,3,5,0.25,1024,0.82
beta,19.0,0.0,1.0585268682916649e-05,0.8677240171751496,3,5,0.25,1024,0.82
beta,20.0,0.0,1.0810726053023245e-05,0.5751583529620385,3,5,0.25,1024,0.82
beta,21.0,0.0,1.0876938176807016e-05,0.4423950799231674,3,5,0.25,1024,0.82
beta,22.0,0.0,1.076601074601058e-05,0.5039744626232712,3,5,0.25,1024,0.82
beta,23.0,0.0,1.050035371008562e-05,0.7736687080102687,3,5,0.25,1024,0.82
beta,24.0,0.0,1.0136692253581714e-05,0.9521371106066547,3,5,0.25,1024,0.82
beta,25.0,0.0,9.750447134138085e-06,0.9804394631126824,3,5,0.25,1024,0.82
beta,26.0,0.0,9.417393812327646e-06,0.9679797197559993,3,5,0.25,1024,0.82
beta,27.0,0.0,9.198491170536727e-06,0.8307295205029177,3,5,0.25,1024,0.82
beta,28.0,0.0,9.1305573732825e-06,0.5321473151719207,3,5,0.25,1024,0.82
beta,29.0,0.0,9.221892469213344e-06,0.6943115121888868,3,5,0.25,1024,0.82
beta,30.0,0.0,9.451146979699843e-06,0.9175120122358321,3,5,0.25,1024,0.82
beta,31.0,0.0,9.769471944309771e-06,0.9668214555252668,3,5,0.25,1024,0.82
beta,32.0,0.0,1.0107889465871267e-05,0.9744695746666864,3,5,0.25,1024,0.82
beta,33.0,0.0,1.0391029718448408e-05,0.9675652525642002,3,5,0.25,1024,0.82
beta,34.0,0.0,1.0555455446592532e-05,0.8283960590382018,3,5,0.25,1024,0.82
beta,35.0,0.0,1.0566648597887252e-05,0.605998045633671,3,5,0.25,1024,0.82
beta,36.0,0.0,1.0428052519273479e-05,0.7951618331302844,3,5,0.25,1024,0.82
beta,37.0,0.0,1.017847353068646e-05,0.9287966100964906,3,5,0.25,1024,0.82
beta,38.0,0.0,9.87848216027487e-06,0.9790346182910495,3,5,0.25,1024,0.82
beta,39.0,0.0,9.590905392542481e-06,0.9760269691682765,3,5,0.25,1024,0.82
beta,40.0,0.0,9.363002391182818e-06,0.916314628191574,3,5,0.25,1024,0.82
beta,41.0,0.0,9.216045327775646e-06,0.6000265597445414,3,5,0.25,1024,0.82
beta,42.0,0.0,9.144653631665278e-06,0.2746042163188166,3,5,0.25,1024,0.82
beta,43.0,0.0,9.12499672267586e-06,0.040257436059664975,3,5,0.25,1024,0.82
beta,44.0,0.0,9.127890734816901e-06,-0.018296815134698798,3,5,0.25,1024,0.82
beta,45.0,0.0,9.131302249443252e-06,-0.029365117389766965,3,5,0.25,1024,0.82
beta,46.0,0.0,9.12750510906335e-06,-0.03223645352664073,3,5,0.25,1024,0.82
beta,47.0,0.0,9.123087693296839e-06,-0.01737423528136758,3,5,0.25,1024,0.82
beta,48.0,0.0,9.133215826295782e-06,0.06263475865704926,3,5,0.25,1024,0.82
beta,49.0,0.0,9.174042133963667e-06,0.2829458963759497,3,5,0.25,1024,0.82
beta,50.0,0.0,9.257043529942166e-06,0.38063684475404114,3,5,0.25,1024,0.82
beta,51.0,0.0,9.38656557991635e-06,0.3494699191201515,3,5,0.25,1024,0.82
beta,52.0,0.0,9.558744750393089e-06,0.4504033935485835,3,5,0.25,1024,0.82
beta,53.0,0.0,9.760023203853052e-06,0.5069289312088221,3,5,0.25,1024,0.82
beta,54.0,0.0,9.965799108613282e-06,0.43537823122947966,3,5,0.25,1024,0.82
beta,55.0,0.0,1.0141910934180487e-05,0.3960843464072722,3,5,0.25,1024,0.82
beta,56.0,0.0,1.0251508683722932e-05,0.3483848157611119,3,5,0.25,1024,0.82
beta,57.0,0.0,1.0266568096994888e-05,0.3001815981305608,3,5,0.25,1024,0.82
beta,58.0,0.0,1.0179692253586836e-05,0.5865585847388296,3,5,0.25,1024,0.82
beta,59.0,0.0,1.0009594916482456e-05,0.7861543248051199,3,5,0.25,1024,0.82
beta,60.0,0.0,9.796512131288182e-06,0.8183948468370832,3,5,0.25,1024,0.82
beta,61.0,0.0,9.588625289325137e-06,0.6876034612219003,3,5,0.25,1024,0.82
beta,62.0,0.0,9.42580390983494e-06,0.3702553833718894,3,5,0.25,1024,0.82
beta,63.0,0.0,9.327295629191212e-06,0.11003340744617264,3,5,0.25,1024,0.82
beta,64.0,0.0,9.288304681831505e-06,0.02427181441220433,3,5,0.25,1024,0.82
beta,65.0,0.0,9.28546523937257e-06,0.001480145480136575,3,5,0.25,1024,0.82
beta,66.0,0.0,9.288401997764595e-06,-0.013778619325853376,3,5,0.25,1024,0.82
beta,67.0,0.0,9.271832823287696e-06,0.022516813109328314,3,5,0.25,1024,0.82
beta,68.0,0.0,9.224462701240554e-06,0.14739635213453084,3,5,0.25,1024,0.82
beta,69.0,0.0,9.15250802790979e-06,0.31354233552923766,3,5,0.25,1024,0.82
beta,70.0,0.0,9.077253707800992e-06,0.3014787455993538,3,5,0.25,1024,0.82
beta,71.0,0.0,9.027347914525308e-06,0.18042623129834887,3,5,0.25,1024,0.82
beta,72.0,0.0,9.028485692397226e-06,0.0785555983151755,3,5,0.25,1024,0.82
beta,73.0,0.0,9.093308108276688e-06,0.04764000081290779,3,5,0.25,1024,0.82
beta,74.0,0.0,9.215028512699064e-06,0.08715211262155953,3,5,0.25,1024,0.82
beta,75.0,0.0,9.368157407152466e-06,0.22014002793007595,3,5,0.25,1024,0.82
beta,76.0,0.0,9.516827049083076e-06,0.34601531981505573,3,5,0.25,1024,0.82
beta,77.0,0.0,9.627988220017869e-06,0.37871675354053597,3,5,0.25,1024,0.82
beta,78.0,0.0,9.685049917607103e-06,0.21628415234340245,3,5,0.25,1024,0.82
beta,79.0,0.0,9.696178494777996e-06,0.04405123065990162,3,5,0.25,1024,0.82
beta,80.0,0.0,9.693392712506466e-06,0.04065005079326502,3,5,0.25,1024,0.82
beta,81.0,0.0,9.722238246467896e-06,0.26968351704991,3,5,0.25,1024,0.82
beta,82.0,0.0,9.826043424254749e-06,0.7127294871729419,3,5,0.25,1024,0.82
beta,83.0,0.0,1.0030047633335926e-05,0.9555766349613551,3,5,0.25,1024,0.82
beta,84.0,0.0,1.0331712473998778e-05,0.9855196762443991,3,5,0.25,1024,0.82
beta,85.0,0.0,1.0700690836529247e-05,0.9896960913554186,3,5,0.25,1024,0.82
beta,86.0,0.0,1.1089012332377024e-05,0.9836565202158446,3,5,0.25,1024,0.82
beta,87.0,0.0,1.1447437827882823e-05,0.9372342283253214,3,5,0.25,1024,0.82
beta,88.0,0.0,1.1741735761461314e-05,0.6884793537718383,3,5,0.25,1024,0.82
beta,89.0,0.0,1.196196080854861e-05,0.3541394295536207,3,5,0.25,1024,0.82
beta,90.0,0.0,1.21208286145702e-05,0.08995613842280709,3,5,0.25,1024,0.82
beta,91.0,0.0,1.2242028788023163e-05,0.03885810013009011,3,5,0.25,1024,0.82
beta,92.0,0.0,1.2345051800366491e-05,0.04416484139333644,3,5,0.25,1024,0.82
beta,97.65625,0.0,9.803098691918422e-06,0.2453604209102264,3,5,0.25,1024,0.82
beta,98.65625,0.0,9.64905757427914e-06,0.3296049515062231,3,5,0.25,1024,0.82
beta,99.65625,0.0,9.457349733565934e-06,0.6723698243653873,3,5,0.25,1024,0.82
beta,100.65625,0.0,9.238005077349953e-06,0.9080348934385754,3,5,0.25,1024,0.82
beta,101.65625,0.0,9.000961654237472e-06,0.9508995883721524,3,5,0.25,1024,0.82
beta,102.65625,0.0,8.755579983699135e-06,0.9612322593834723,3,5,0.25,1024,0.82
beta,103.65625,0.0,8.511662599630654e-06,0.9618758517067195,3,5,0.25,1024,0.82
beta,104.65625,0.0,8.28189240564825e-06,0.9256211924631659,3,5,0.25,1024,0.82
beta,105.65625,0.0,8.084051842160989e-06,0.7308807754821133,3,5,0.25,1024,0.82
beta,106.65625,0.0,7.941320291138254e-06,0.5203141519963154,3,5,0.25,1024,0.82
beta,107.65625,0.0,7.878757969592698e-06,0.3365281423096152,3,5,0.25,1024,0.82
beta,108.65625,0.0,7.916512913652696e-06,0.4299008048278218,3,5,0.25,1024,0.82
beta,109.65625,0.0,8.061964763328433e-06,0.7408494444596104,3,5,0.25,1024,0.82
beta,110.65625,0.0,8.305371011374518e-06,0.8045882359652113,3,5,0.25,1024,0.82
beta,111.65625,0.0,8.621538654551841e-06,0.8123441628797868,3,5,0.25,1024,0.82
beta,112.65625,0.0,8.978111509350128e-06,0.8117870464497984,3,5,0.25,1024,0.82
beta,113.65625,0.0,9.3458593255491e-06,0.8175462198170284,3,5,0.25,1024,0.82
beta,114.65625,0.0,9.705423508421518e-06,0.8975887796242263,3,5,0.25,1024,0.82
beta,115.65625,0.0,1.0046576790045947e-05,0.9578119109901589,3,5,0.25,1024,0.82
beta,116.65625,0.0,1.0361653039581142e-05,0.9387847847487943,3,5,0.25,1024,0.82
beta,117.65625,0.0,1.0638452295097522e-05,0.8148319727678054,3,5,0.25,1024,0.82
beta,118.65625,0.0,1.0858520909096114e-05,0.6327802453411688,3,5,0.25,1024,0.82
beta,119.65625,0.0,1.1002317478414625e-05,0.4630801970441565,3,5,0.25,1024,0.82
beta,120.65625,0.0,1.1057685696869157e-05,0.2703688744719651,3,5,0.25,1024,0.82
beta,121.65625,0.0,1.1026182619389147e-05,0.0722718028689708,3,5,0.25,1024,0.82
beta,122.65625,0.0,1.09227912616916e-05,0.05838348437130533,3,5,0.25,1024,0.82
beta,123.65625,0.0,1.0770268090709578e-05,0.03659421195977684,3,5,0.25,1024,0.82
beta,124.65625,0.0,1.0592100807116367e-05,-0.008030521324684192,3,5,0.25,1024,0.82
beta,125.65625,0.0,1.0408271919004619e-05,-0.04139583505906281,3,5,0.25,1024,0.82
beta,126.65625,0.0,1.0234909495920874e-05,-0.0308326316571529,3,5,0.25,1024,0.82
beta,127.65625,0.0,1.0086706424772274e-05,-0.0007344836273925163,3,5,0.25,1024,0.82
beta,128.65625,0.0,9.97935603663791e-06,0.02740199006650266,3,5,0.25,1024,0.82
beta,129.65625,0.0,9.929372026817873e-06,0.004527015361182186,3,5,0.25,1024,0.82
beta,130.65625,0.0,9.952079381037038e-06,-0.027071112272005357,3,5,0.25,1024,0.82
beta,131.65625,0.0,1.0057663530460559e-05,0.0194004428172263,3,5,0.25,1024,0.82
beta,132.65625,0.0,1.0247002137475647e-05,0.18494239397798204,3,5,0.25,1024,0.82
beta,133.65625,0.0,1.0508852938073687e-05,0.49075437216223067,3,5,0.25,1024,0.82
beta,134.65625,0.0,1.0820350325957406e-05,0.7232663037471598,3,5,0.25,1024,0.82
beta,135.65625,0.0,1.1149796591780614e-05,0.8175838270514656,3,5,0.25,1024,0.82
beta,136.65625,0.0,1.1461005669843871e-05,0.8535356251322972,3,5,0.25,1024,0.82
beta,137.65625,0.0,1.1717578672687523e-05,0.5671112437289282,3,5,0.25,1024,0.82
beta,138.65625,0.0,1.1886388165294193e-05,0.19028657500311286,3,5,0.25,1024,0.82
beta,139.65625,0.0,1.1942202945647296e-05,0.09591498472859046,3,5,0.25,1024,0.82
beta,140.65625,0.0,1.1874462870764546e-05,0.19662313815611748,3,5,0.25,1024,0.82
beta,141.65625,0.0,1.1694796739902813e-05,0.4983279534956795,3,5,0.25,1024,0.82
beta,142.65625,0.0,1.143992085417267e-05,0.7802653300679568,3,5,0.25,1024,0.82
beta,143.65625,0.0,1.1164886018377729e-05,0.7612995899215529,3,5,0.25,1024,0.82
beta,144.65625,0.0,1.0926045433734544e-05,0.5479283175111591,3,5,0.25,1024,0.82
beta,145.65625,0.0,1.0760145414678846e-05,0.280566210596365,3,5,0.25,1024,0.82
beta,146.65625,0.0,1.0670696610759478e-05,0.17827082352456566,3,5,0.25,1024,0.82
beta,147.65625,0.0,1.0629292773955967e-05,0.13948749794402449,3,5,0.25,1024,0.82
beta,148.65625,0.0,1.0592657417873852e-05,0.1366418025532465,3,5,0.25,1024,0.82
beta,149.65625,0.0,1.0525466677790973e-05,0.36947703880012944,3,5,0.25,1024,0.82
beta,150.65625,0.0,1.0416481927677523e-05,0.6207493266284698,3,5,0.25,1024,0.82
beta,151.65625,0.0,1.0279128218826372e-05,0.7310324900408314,3,5,0.25,1024,0.82
beta,152.65625,0.0,1.01385830930667e-05,0.6198548737197951,3,5,0.25,1024,0.82
beta,153.65625,0.0,1.0014528015744872e-05,0.4765891263936775,3,5,0.25,1024,0.82
beta,154.65625,0.0,9.910962944559287e-06,0.4506961952225816,3,5,0.25,1024,0.82
beta,155.65625,0.0,9.819535989663564e-06,0.5508223084494365,3,5,0.25,1024,0.82
beta,156.65625,0.0,9.733506885822862e-06,0.4095237619668715,3,5,0.25,1024,0.82
beta,157.65625,0.0,9.66299558058381e-06,0.19746002389684758,3,5,0.25,1024,0.82
beta,158.65625,0.0,9.641636097512674e-06,0.16011741868333365,3,5,0.25,1024,0.82
