band,time_s,avg_density,avg_blp,avg_corr,smoothing_sec,corr_window_sec,window_length_sec,sampling_rate,corr_threshold
gamma,0.0,0.0,4.8043775677797385e-06,0.5575389723072612,3,5,0.25,1024,0.82
gamma,1.0,0.0,4.746450485981768e-06,0.40029974695172615,3,5,0.25,1024,0.82
gamma,2.0,0.0,4.688959052145947e-06,0.29161980367907936,3,5,0.25,1024,0.82
gamma,3.0,0.0,4.639440248865867e-06,0.19828186947867685,3,5,0.25,1024,0.82
gamma,4.0,0.0,4.6020045374461915e-06,0.13923593297500308,3,5,0.25,1024,0.82
gamma,5.0,0.0,4.578402695187833e-06,0.134232852832643,3,5,0.25,1024,0.82
gamma,6.0,0.0,4.569054908643011e-06,0.1585892876867321,3,5,0.25,1024,0.82
gamma,7.0,0.0,4.573083515424514e-06,0.2315414776540745,3,5,0.25,1024,0.82
gamma,8.0,0.0,4.587677267409163e-06,0.4164352875502424,3,5,0.25,1024,0.82
gamma,9.0,0.0,4.608061317412648e-06,0.43456752260080705,3,5,0.25,1024,0.82
gamma,10.0,0.0,4.628768692782614e-06,0.32398236229557414,3,5,0.25,1024,0.82
gamma,11.0,0.0,4.645826265914366e-06,0.20807366009223158,3,5,0.25,1024,0.82
gamma,12.0,0.0,4.6587201723014005e-06,0.1351000576493632,3,5,0.25,1024,0.82
gamma,13.0,0.0,4.670883299695561e-06,0.1123265929053684,3,5,0.25,1024,0.82
gamma,14.0,0.0,4.688266017183196e-06,0.2424212772068186,3,5,0.25,1024,0.82
gamma,15.0,0.0,4.716352123068646e-06,0.46424204068883324,3,5,0.25,1024,0.82
gamma,16.0,0.0,4.7567941692250315e-06,0.5762092295396645,3,5,0.25,1024,0.82
gamma,17.0,0.0,4.805098797078244e-06,0.5190929326173758,3,5,0.25,1024,0.82
gamma,18.0,0.0,4.850588993576821e-06,0.512795271377504,3,5,0.25,1024,0.82
gamma,19.0,0.0,4.87914167024428e-06,0.46043526211345454,3,5,0.25,1024,0.82
gamma,20.0,0.0,4.877961146121379e-06,0.4330545845966516,3,5,0.25,1024,0.82
